frame_index,knee_angle_deg,visible_side_used,left_hip_visibility,left_knee_visibility,left_ankle_visibility,right_hip_visibility,right_knee_visibility,right_ankle_visibility,angle_status
0,125.4731,left,0.9999,0.9658,0.9725,0.9999,0.2168,0.4586,valid
1,125.0708,left,0.9999,0.9697,0.9816,0.9999,0.2542,0.5362,valid
2,128.6054,left,0.9999,0.9746,0.9815,0.9999,0.2413,0.4897,valid
3,130.6114,left,0.9999,0.9776,0.9882,0.9999,0.3105,0.6087,valid
4,131.7069,left,0.9998,0.9466,0.9785,0.9999,0.1782,0.4327,valid
5,132.6599,left,0.9999,0.9699,0.9836,0.9999,0.2682,0.5127,valid
6,134.6388,left,0.9999,0.9417,0.9646,0.9998,0.1373,0.3208,valid
7,134.6612,left,0.9999,0.9352,0.957,0.9999,0.1278,0.2998,valid
8,132.8544,left,0.9999,0.956,0.9738,0.9999,0.168,0.396,valid
9,131.62,left,0.9999,0.9297,0.9514,0.9999,0.1299,0.3113,valid
10,131.6567,left,0.9999,0.9477,0.9692,0.9999,0.1578,0.3498,valid
11,133.3009,left,0.9999,0.9493,0.9697,0.9999,0.1562,0.392,valid
12,129.3123,left,0.9999,0.9573,0.9722,0.9999,0.1678,0.3501,valid
13,127.8952,left,0.9999,0.9509,0.9678,0.9998,0.1307,0.2808,valid
14,129.2985,left,0.9999,0.9752,0.9844,0.9998,0.205,0.4421,valid
15,127.425,left,0.9999,0.9805,0.987,0.9998,0.2219,0.4377,valid
16,126.8034,left,0.9999,0.9623,0.9792,0.9998,0.1503,0.3376,valid
17,126.7016,left,0.9999,0.9527,0.9686,0.9998,0.1316,0.2778,valid
18,127.4076,left,0.9999,0.9722,0.9836,0.9998,0.2008,0.4122,valid
19,128.9077,left,0.9999,0.9542,0.9714,0.9998,0.1568,0.3193,valid
20,123.8068,left,0.9999,0.9523,0.9684,0.9998,0.1345,0.2922,valid
21,127.1511,left,0.9999,0.9739,0.9844,0.9999,0.244,0.4887,valid
22,129.6965,left,0.9999,0.9741,0.9825,0.9999,0.2551,0.4687,valid
23,129.6726,left,0.9999,0.9604,0.9769,0.9999,0.1657,0.3609,valid
24,130.329,left,0.9999,0.9508,0.9701,0.9999,0.1465,0.3269,valid
25,131.8132,left,0.9999,0.9686,0.983,0.9999,0.224,0.4705,valid
26,130.0713,left,0.9999,0.9327,0.9677,0.9998,0.1097,0.2927,valid
27,130.2088,left,0.9999,0.9208,0.9562,0.9998,0.1128,0.2577,valid
28,126.3465,left,0.9999,0.9136,0.958,0.9998,0.0966,0.2457,valid
29,128.0582,left,0.9999,0.9661,0.9832,0.9998,0.2326,0.4878,valid
30,131.2899,left,0.9999,0.9577,0.9777,0.9999,0.1804,0.3811,valid
31,131.4347,left,1.0,0.9576,0.9803,0.9999,0.226,0.4731,valid
32,134.8307,left,0.9999,0.906,0.9617,0.9999,0.1391,0.3239,valid
33,137.7823,left,1.0,0.9323,0.973,0.9999,0.1395,0.3495,valid
34,138.0157,left,0.9999,0.9135,0.9663,0.9999,0.0844,0.252,valid
35,136.3491,left,0.9999,0.9135,0.9675,0.9999,0.0971,0.2653,valid
36,138.0359,left,0.9999,0.9066,0.9656,0.9998,0.0888,0.2358,valid
37,137.7864,left,0.9999,0.9042,0.9659,0.9998,0.0656,0.2055,valid
38,138.4404,left,0.9999,0.8779,0.9564,0.9998,0.0634,0.2014,valid
39,140.3146,left,0.9999,0.8909,0.9636,0.9998,0.0741,0.2388,valid
40,141.6116,left,0.9999,0.9087,0.9702,0.9998,0.0863,0.258,valid
41,140.8669,left,0.9999,0.8696,0.9477,0.9998,0.077,0.2096,valid
42,144.9435,left,0.9999,0.9151,0.9685,0.9999,0.0901,0.2619,valid
43,145.358,left,0.9999,0.9519,0.9836,0.9999,0.2061,0.4246,valid
44,147.6606,left,0.9999,0.9276,0.9732,0.9999,0.1404,0.3543,valid
45,146.3001,left,0.9999,0.938,0.9823,0.9999,0.1499,0.3847,valid
46,144.8035,left,0.9999,0.9266,0.9784,0.9999,0.1294,0.3344,valid
47,146.6099,left,0.9999,0.9351,0.9808,0.9999,0.144,0.3444,valid
48,144.8019,left,0.9999,0.9284,0.9807,0.9999,0.1175,0.3317,valid
