frame_index_global,frame_index_in_rep,knee_angle_deg,knee_angle_median,knee_angle_smoothed,angle_status
340,0,170.4061,170.2446,169.2784,valid
341,1,170.2446,168.882,169.5053,valid
342,2,167.0745,167.5193,168.8293,valid
343,3,167.5193,167.0745,167.2504,valid
344,4,164.8961,164.8961,165.1102,valid
345,5,164.2158,164.2158,162.1407,valid
346,6,155.28,155.28,157.3434,valid
347,7,152.6672,152.6672,151.5316,valid
348,8,144.8993,144.8993,145.2341,valid
349,9,139.6418,139.6418,139.9895,valid
350,10,134.6815,134.6815,134.3933,valid
351,11,129.8425,129.8425,130.304,valid
352,12,126.084,126.084,126.0776,valid
353,13,122.5167,122.5167,121.586,valid
354,14,116.8915,116.8915,117.1101,valid
355,15,112.274,112.274,113.4377,valid
356,16,109.5747,109.5747,109.5281,valid
357,17,107.4822,107.4822,105.7768,valid
358,18,100.1759,100.1759,101.0987,valid
359,19,95.8191,95.8191,95.719,valid
360,20,90.0315,90.0315,90.2035,valid
361,21,86.1189,86.1189,86.0256,valid
362,22,81.7665,81.7665,82.0909,valid
363,23,79.2194,79.2194,78.8503,valid
364,24,75.9234,75.9234,76.0457,valid
365,25,73.356,73.356,73.6232,valid
366,26,71.5908,71.5908,71.1175,valid
367,27,68.8956,68.8956,68.9509,valid
368,28,66.6506,66.6506,66.9004,valid
369,29,65.2301,65.2301,65.2083,valid
370,30,63.83,63.83,63.9183,valid
371,31,62.9751,62.9751,62.7994,valid
372,32,59.8716,61.2754,61.1607,valid
373,33,61.2754,59.8716,59.5158,valid
374,34,57.3371,57.3371,58.1849,valid
375,35,57.1104,57.3371,57.262,valid
376,36,55.9676,57.1104,56.5544,valid
377,37,57.5165,55.9676,56.1538,valid
378,38,55.2549,55.2549,55.4528,valid
379,39,54.996,54.996,54.8342,valid
380,40,54.5303,54.5303,54.5041,valid
381,41,51.2659,54.1527,54.2425,valid
382,42,54.1527,54.1527,54.0652,valid
383,43,54.0807,54.1527,54.2339,valid
384,44,54.5055,54.5055,54.4281,valid
385,45,55.3238,55.3238,55.0472,valid
386,46,55.7379,55.7379,56.3482,valid
387,47,58.3864,58.3864,58.4424,valid
388,48,61.0236,61.0236,60.9264,valid
389,49,63.6981,63.6981,62.9606,valid
390,50,65.0186,65.0186,64.9102,valid
391,51,65.9195,65.9195,67.2706,valid
392,52,70.7049,70.7049,69.8015,valid
393,53,74.0672,74.0672,73.8015,valid
394,54,77.1714,77.1714,78.0447,valid
395,55,84.0983,84.0983,82.7182,valid
396,56,87.956,87.956,89.6652,valid
397,57,97.1984,97.1984,97.3632,valid
398,58,107.3791,107.3791,105.4763,valid
399,59,113.0105,113.0105,114.4449,valid
400,60,122.3774,122.3774,122.0713,valid
401,61,130.3541,130.3541,129.1799,valid
402,62,142.6608,136.5074,137.3611,valid
403,63,147.935,145.2979,146.805,valid
404,64,,,,chain_incomplete
405,65,166.0313,167.8788,165.6326,valid
406,66,169.7262,171.3496,171.2441,valid
407,67,173.7204,172.973,173.3026,valid
408,68,172.973,173.1462,173.4089,valid
409,69,173.3194,173.5199,174.0067,valid
410,70,,,,chain_incomplete
411,71,176.0359,175.93,175.4926,valid
412,72,,,,chain_incomplete
413,73,175.93,175.805,176.0191,valid
414,74,175.68,175.7007,175.6747,valid
415,75,174.4616,175.68,175.2893,valid
416,76,175.7214,174.5114,174.8928,valid
417,77,174.5114,174.4616,174.556,valid
418,78,174.1952,174.5114,174.3543,valid
419,79,173.3771,174.3533,174.2612,valid
420,80,175.9595,174.1952,174.2769,valid
