subject_id,video_id,rep_number,status,error_message,total_frames,valid_frames,phase_identification_status
2,PM_021,1,success,,111,71,failed
2,PM_021,2,success,,120,103,ok
2,PM_021,3,success,,120,109,ok
2,PM_021,4,success,,130,111,ok
2,PM_021,5,success,,95,87,ok
2,PM_021,6,success,,111,104,ok
2,PM_021,7,success,,80,77,ok
2,PM_021,8,success,,80,71,ok
2,PM_021,9,success,,80,68,ok
2,PM_021,10,success,,60,53,ok
3,PM_028,1,success,,126,107,ok
3,PM_028,2,success,,151,107,ok
3,PM_028,3,success,,146,126,ok
3,PM_028,4,success,,130,122,ok
3,PM_028,5,success,,140,133,ok
3,PM_028,6,success,,140,112,ok
3,PM_028,7,success,,101,90,ok
3,PM_028,8,success,,105,73,failed
3,PM_028,9,success,,95,72,ok
3,PM_028,10,success,,105,104,ok
3,PM_028,11,success,,88,83,ok
4,PM_037,1,success,,71,66,ok
4,PM_037,2,success,,54,54,ok
4,PM_037,3,success,,59,53,ok
4,PM_037,4,success,,59,56,ok
4,PM_037,5,success,,53,49,ok
4,PM_037,6,success,,49,38,ok
4,PM_037,7,success,,61,49,ok
4,PM_037,8,success,,62,52,ok
4,PM_037,9,success,,68,55,ok
4,PM_037,10,success,,62,43,failed
5,PM_042,1,success,,97,69,ok
5,PM_042,2,success,,86,48,failed
5,PM_042,3,success,,110,51,failed
5,PM_042,4,success,,91,38,failed
5,PM_042,5,success,,95,37,failed
5,PM_042,6,success,,100,47,failed
5,PM_042,7,success,,90,42,failed
5,PM_042,8,success,,91,35,failed
5,PM_042,9,success,,96,29,failed
5,PM_042,10,success,,85,37,failed
5,PM_042,11,success,,106,41,failed
5,PM_042,12,success,,100,28,failed
5,PM_042,13,success,,95,33,failed
6,PM_104,1,success,,111,111,ok
6,PM_104,2,success,,110,110,ok
6,PM_104,3,success,,115,115,ok
6,PM_104,4,success,,95,95,ok
6,PM_104,5,success,,90,90,ok
6,PM_104,6,success,,166,166,ok
6,PM_104,7,success,,100,100,ok
6,PM_104,8,success,,100,100,ok
6,PM_104,9,success,,110,110,ok
6,PM_104,10,success,,100,100,ok
7,PM_125,11,success,,101,101,ok
7,PM_125,12,success,,105,105,ok
7,PM_125,13,success,,105,105,ok
7,PM_125,14,success,,110,110,ok
7,PM_125,15,success,,105,105,ok
7,PM_125,16,success,,111,111,ok
7,PM_125,17,success,,130,130,ok
7,PM_125,18,success,,135,135,ok
7,PM_125,19,success,,120,120,ok
7,PM_125,20,success,,110,110,ok
8,PM_112,1,success,,121,59,failed
8,PM_112,2,success,,160,98,failed
8,PM_112,3,success,,145,79,failed
8,PM_112,4,success,,160,80,failed
8,PM_112,5,success,,155,67,failed
8,PM_112,6,success,,160,78,failed
8,PM_112,7,success,,150,81,failed
8,PM_112,8,success,,111,45,failed
8,PM_112,9,success,,115,62,failed
8,PM_112,10,success,,125,65,failed
8,PM_112,11,success,,130,37,failed
8,PM_112,12,success,,110,17,failed
9,PM_117a,1,success,,86,86,ok
9,PM_117b,1,success,,80,80,ok
9,PM_117a,2,success,,110,110,ok
9,PM_117b,2,success,,90,90,ok
9,PM_117a,3,success,,110,110,ok
9,PM_117b,3,success,,65,65,ok
9,PM_117a,4,success,,93,93,ok
9,PM_117a,5,success,,102,102,ok
9,PM_117a,6,success,,85,85,ok
9,PM_117a,7,success,,51,51,ok
9,PM_117a,8,success,,41,41,ok
9,PM_117a,9,success,,74,74,ok
