frame_index,left_knee_angle_deg,right_knee_angle_deg,left_hip_visibility,left_knee_visibility,left_ankle_visibility,right_hip_visibility,right_knee_visibility,right_ankle_visibility,left_angle_status,right_angle_status
0,130.0888,177.3245,1.0,0.9774,0.9898,1.0,0.6053,0.8599,valid,valid
1,126.5617,177.7071,1.0,0.9724,0.9861,1.0,0.5233,0.8261,valid,valid
2,124.0083,,1.0,0.9629,0.98,1.0,0.4771,0.7714,valid,chain_incomplete
3,118.6414,171.9538,1.0,0.9763,0.983,1.0,0.5756,0.8176,valid,valid
4,115.6987,170.399,1.0,0.9755,0.983,1.0,0.5939,0.8354,valid,valid
5,113.7505,169.8029,1.0,0.9809,0.987,1.0,0.7076,0.9045,valid,valid
6,111.3065,164.1456,1.0,0.9809,0.9851,1.0,0.7099,0.8955,valid,valid
7,108.8339,162.7458,1.0,0.9777,0.9815,1.0,0.6373,0.8615,valid,valid
8,106.0825,163.1393,1.0,0.9829,0.9886,1.0,0.6918,0.9051,valid,valid
9,103.7729,158.7168,1.0,0.9857,0.9888,1.0,0.7157,0.9145,valid,valid
10,100.9528,153.0288,1.0,0.981,0.9849,1.0,0.6675,0.8932,valid,valid
11,96.9124,147.783,1.0,0.9829,0.987,1.0,0.7477,0.9336,valid,valid
12,96.8829,144.9614,1.0,0.9763,0.9757,1.0,0.7581,0.9245,valid,valid
13,96.0754,140.6825,1.0,0.9782,0.9795,1.0,0.7596,0.9274,valid,valid
14,94.637,133.7767,1.0,0.9851,0.9864,1.0,0.8152,0.9581,valid,valid
15,94.087,128.7636,1.0,0.9883,0.988,1.0,0.8328,0.964,valid,valid
16,93.7039,123.9751,1.0,0.9871,0.9856,1.0,0.8345,0.9657,valid,valid
17,90.0119,117.238,1.0,0.9851,0.9896,1.0,0.8297,0.9667,valid,valid
18,87.974,114.4224,1.0,0.9932,0.9935,1.0,0.9046,0.9723,valid,valid
19,84.7186,113.3915,0.9999,0.9803,0.9841,1.0,0.8476,0.9483,valid,valid
20,105.3287,87.3819,0.9999,0.9915,0.9669,0.9999,0.7955,0.7226,valid,valid
21,82.1869,114.6829,1.0,0.9643,0.9736,1.0,0.7648,0.8473,valid,valid
22,76.816,110.5089,1.0,0.9839,0.9877,1.0,0.9137,0.9623,valid,valid
23,78.0072,104.2776,1.0,0.9885,0.9905,1.0,0.9461,0.9833,valid,valid
24,76.8971,99.624,1.0,0.9971,0.9974,1.0,0.9834,0.9951,valid,valid
25,74.6837,91.2034,1.0,0.9973,0.999,1.0,0.9652,0.9935,valid,valid
26,72.4352,91.0752,1.0,0.9957,0.9985,1.0,0.944,0.9871,valid,valid
27,72.7014,85.0584,1.0,0.9944,0.9983,1.0,0.9537,0.9912,valid,valid
28,70.3658,80.2829,1.0,0.9942,0.9976,1.0,0.9596,0.9891,valid,valid
29,69.5799,86.2016,1.0,0.9988,0.999,1.0,0.9962,0.999,valid,valid
30,68.0884,83.3731,1.0,0.9988,0.9989,1.0,0.9959,0.9991,valid,valid
31,68.0611,82.0568,1.0,0.9991,0.9993,1.0,0.9961,0.9994,valid,valid
32,67.9217,83.3255,1.0,0.9991,0.9992,1.0,0.9962,0.9991,valid,valid
33,69.0861,80.52,1.0,0.9976,0.9983,1.0,0.989,0.9978,valid,valid
34,69.7009,77.2145,1.0,0.9964,0.9979,1.0,0.9848,0.997,valid,valid
35,68.2139,73.3832,1.0,0.9981,0.9988,1.0,0.9918,0.9985,valid,valid
36,70.4038,71.9217,1.0,0.9934,0.9988,1.0,0.7423,0.9382,valid,valid
37,69.5764,71.9072,1.0,0.9938,0.9985,1.0,0.7783,0.9497,valid,valid
38,70.73,77.5945,1.0,0.9903,0.995,1.0,0.9204,0.9866,valid,valid
39,71.2588,81.9975,1.0,0.9985,0.999,1.0,0.9942,0.9987,valid,valid
40,72.3734,80.4274,1.0,0.9982,0.9988,1.0,0.9939,0.9987,valid,valid
41,76.3139,80.3454,1.0,0.9958,0.9986,1.0,0.9461,0.9921,valid,valid
42,77.9644,79.0147,1.0,0.9975,0.9992,1.0,0.9666,0.9937,valid,valid
43,81.8274,86.8782,1.0,0.9961,0.9971,1.0,0.9725,0.9927,valid,valid
44,88.3435,87.6054,1.0,0.9659,0.9873,1.0,0.7357,0.9313,valid,valid
45,90.7968,92.3142,1.0,0.9729,0.989,1.0,0.7952,0.9244,valid,valid
46,110.2936,81.1421,1.0,0.9824,0.9781,1.0,0.5589,0.6532,valid,valid
47,100.8144,107.3845,1.0,0.9377,0.9738,1.0,0.569,0.8203,valid,valid
48,104.5379,,1.0,0.8453,0.9253,1.0,0.3625,0.6604,valid,chain_incomplete
49,112.5609,123.4427,1.0,0.9579,0.979,1.0,0.6491,0.8661,valid,valid
50,117.4882,128.2617,1.0,0.957,0.9663,1.0,0.6563,0.8648,valid,valid
51,123.3662,130.3857,1.0,0.9733,0.9833,1.0,0.7519,0.9128,valid,valid
52,130.5787,139.1503,1.0,0.9629,0.9816,1.0,0.6055,0.8829,valid,valid
53,133.8742,146.5847,1.0,0.9695,0.9848,1.0,0.6115,0.9002,valid,valid
54,140.4553,154.449,1.0,0.9716,0.984,1.0,0.6424,0.9104,valid,valid
55,151.063,158.2866,1.0,0.9689,0.9857,1.0,0.6425,0.9028,valid,valid
56,153.2259,162.5599,1.0,0.9497,0.9763,1.0,0.5218,0.8441,valid,valid
57,157.4597,,1.0,0.9264,0.9725,1.0,0.3897,0.7623,valid,chain_incomplete
58,164.8152,170.7061,1.0,0.9412,0.9824,1.0,0.516,0.8852,valid,valid
59,168.9657,171.345,1.0,0.9523,0.9854,1.0,0.5568,0.9048,valid,valid
60,169.8576,,1.0,0.9224,0.9775,1.0,0.443,0.8261,valid,chain_incomplete
61,173.3034,172.666,1.0,0.9388,0.9834,1.0,0.5544,0.8834,valid,valid
62,172.6021,177.6937,1.0,0.9389,0.9802,1.0,0.5431,0.8793,valid,valid
63,173.37,179.2427,1.0,0.9394,0.9827,1.0,0.5677,0.887,valid,valid
64,172.6421,178.9603,1.0,0.9677,0.9907,1.0,0.671,0.9135,valid,valid
65,172.3026,179.7345,1.0,0.9733,0.9914,1.0,0.756,0.9315,valid,valid
66,169.7986,177.6911,1.0,0.974,0.9914,1.0,0.7279,0.9185,valid,valid
67,168.3873,176.7741,1.0,0.9812,0.994,1.0,0.7774,0.9318,valid,valid
68,168.7726,178.3967,1.0,0.9727,0.9916,1.0,0.6828,0.9051,valid,valid
69,167.4634,177.6172,1.0,0.9759,0.9926,1.0,0.7448,0.923,valid,valid
70,167.3261,179.9039,1.0,0.9778,0.9943,1.0,0.7489,0.933,valid,valid
71,166.6401,179.8689,1.0,0.9764,0.9933,1.0,0.7515,0.9321,valid,valid
72,169.5925,178.9302,1.0,0.9756,0.9929,1.0,0.7586,0.9366,valid,valid
73,170.1865,178.2583,1.0,0.9718,0.9923,1.0,0.7201,0.909,valid,valid
74,168.1206,178.0829,1.0,0.9494,0.9857,1.0,0.5685,0.853,valid,valid
75,166.9645,175.3304,1.0,0.9522,0.9878,1.0,0.5967,0.8764,valid,valid
76,166.2342,174.5391,1.0,0.9607,0.9904,1.0,0.6288,0.8928,valid,valid
77,163.3589,176.7528,1.0,0.945,0.9846,1.0,0.5273,0.8353,valid,valid
78,161.5338,178.4952,1.0,0.9518,0.9893,1.0,0.5604,0.8574,valid,valid
79,160.9117,178.477,1.0,0.9737,0.9937,1.0,0.6941,0.9216,valid,valid
80,161.6424,179.4311,1.0,0.9807,0.995,1.0,0.7678,0.9418,valid,valid
81,161.1257,176.6676,1.0,0.9743,0.9922,1.0,0.7213,0.9171,valid,valid
82,159.3353,175.6018,1.0,0.9514,0.9847,1.0,0.5748,0.8552,valid,valid
83,156.8119,177.4144,1.0,0.9457,0.9824,1.0,0.5448,0.8437,valid,valid
84,154.0129,174.6756,1.0,0.9731,0.9919,1.0,0.7278,0.9345,valid,valid
85,147.8855,172.4114,1.0,0.9539,0.9814,1.0,0.5457,0.8508,valid,valid
86,143.58,169.7488,1.0,0.9543,0.9819,1.0,0.5248,0.8225,valid,valid
87,141.0813,,1.0,0.9425,0.978,1.0,0.4604,0.8161,valid,chain_incomplete
88,139.2332,,1.0,0.9435,0.9749,1.0,0.4908,0.8247,valid,chain_incomplete
89,137.1972,,1.0,0.9495,0.978,1.0,0.4706,0.802,valid,chain_incomplete
90,132.5479,157.9125,1.0,0.9597,0.9799,1.0,0.5097,0.8411,valid,valid
91,127.6939,,1.0,0.9704,0.9834,1.0,0.4997,0.8298,valid,chain_incomplete
92,127.6505,148.7351,1.0,0.9769,0.9885,1.0,0.5923,0.8687,valid,valid
93,124.3656,146.517,1.0,0.9879,0.9923,1.0,0.7333,0.9316,valid,valid
94,117.8112,144.9091,1.0,0.9905,0.993,1.0,0.8008,0.9556,valid,valid
95,116.2471,138.2495,1.0,0.9892,0.9938,1.0,0.7442,0.9408,valid,valid
96,111.6501,132.3467,1.0,0.9896,0.9942,1.0,0.778,0.9527,valid,valid
97,108.1884,126.0092,1.0,0.9906,0.9945,1.0,0.8193,0.9625,valid,valid
98,106.5028,121.9157,1.0,0.983,0.9907,1.0,0.7777,0.9437,valid,valid
99,105.5866,119.3158,1.0,0.9919,0.9938,1.0,0.8876,0.9687,valid,valid
100,103.9228,112.4971,1.0,0.9868,0.9901,1.0,0.8934,0.9659,valid,valid
101,100.8479,108.3758,1.0,0.992,0.9953,1.0,0.9398,0.9851,valid,valid
102,96.4415,106.6712,1.0,0.9904,0.9944,1.0,0.9326,0.9829,valid,valid
103,95.2151,106.3657,1.0,0.9886,0.9939,1.0,0.9554,0.9874,valid,valid
104,92.811,104.3222,1.0,0.9941,0.9971,1.0,0.9756,0.9936,valid,valid
105,90.7337,99.475,1.0,0.9858,0.9972,1.0,0.9582,0.9937,valid,valid
106,90.5459,99.8074,1.0,0.994,0.9984,1.0,0.9787,0.9965,valid,valid
107,88.4744,104.7275,1.0,0.996,0.9983,1.0,0.9865,0.9967,valid,valid
108,88.2794,96.2645,1.0,0.9942,0.9965,1.0,0.9865,0.9957,valid,valid
109,86.9282,92.4765,1.0,0.9887,0.9935,1.0,0.9677,0.9891,valid,valid
110,85.9062,85.8115,1.0,0.9896,0.997,1.0,0.9597,0.9925,valid,valid
111,85.7923,85.6482,1.0,0.9821,0.9958,1.0,0.9028,0.9784,valid,valid
112,84.6557,86.2413,1.0,0.949,0.9886,1.0,0.7825,0.9457,valid,valid
113,83.6309,,1.0,0.8639,0.9751,1.0,0.4483,0.7722,valid,chain_incomplete
114,80.9678,88.6692,1.0,0.9941,0.9947,1.0,0.9841,0.9924,valid,valid
115,80.5412,90.8941,1.0,0.9973,0.9968,1.0,0.9964,0.998,valid,valid
116,78.7257,88.7306,1.0,0.9981,0.998,1.0,0.9978,0.9987,valid,valid
117,77.153,91.1478,1.0,0.9982,0.9975,1.0,0.997,0.9983,valid,valid
118,75.0474,89.2384,1.0,0.999,0.9986,1.0,0.9981,0.9989,valid,valid
119,74.2024,85.7709,1.0,0.9988,0.9981,1.0,0.998,0.999,valid,valid
120,72.9379,82.5561,1.0,0.9987,0.998,1.0,0.9981,0.9989,valid,valid
121,73.3043,81.0735,1.0,0.9982,0.9974,1.0,0.9977,0.9988,valid,valid
122,72.8386,82.1049,1.0,0.9978,0.9968,1.0,0.9972,0.9982,valid,valid
123,71.8439,79.239,1.0,0.999,0.9981,1.0,0.9984,0.9989,valid,valid
124,72.0047,79.379,1.0,0.9986,0.9982,1.0,0.998,0.9988,valid,valid
125,72.5738,81.2048,1.0,0.9979,0.997,1.0,0.9973,0.9981,valid,valid
126,72.6572,77.2943,1.0,0.9989,0.9979,1.0,0.9985,0.9989,valid,valid
127,74.2037,79.2619,1.0,0.9975,0.9958,1.0,0.9969,0.9975,valid,valid
128,74.4929,84.17,1.0,0.9988,0.9979,1.0,0.9978,0.9986,valid,valid
129,75.8872,82.7099,1.0,0.9984,0.9971,1.0,0.9966,0.9975,valid,valid
130,77.4907,89.7454,1.0,0.9981,0.9977,1.0,0.9974,0.9982,valid,valid
131,80.1406,91.8511,1.0,0.9969,0.9969,1.0,0.993,0.9959,valid,valid
132,84.5222,93.6315,1.0,0.9964,0.9969,1.0,0.989,0.9947,valid,valid
133,87.0552,90.0614,1.0,0.9895,0.994,1.0,0.9498,0.9824,valid,valid
134,91.7456,94.5644,1.0,0.9956,0.9968,1.0,0.9631,0.989,valid,valid
135,97.3851,94.5203,1.0,0.9239,0.9788,1.0,0.7549,0.9224,valid,valid
136,104.3509,100.6622,1.0,0.9316,0.9823,1.0,0.7254,0.9182,valid,valid
137,106.6995,107.3592,1.0,0.9314,0.9705,1.0,0.7243,0.9054,valid,valid
138,109.9531,111.5595,1.0,0.941,0.9771,1.0,0.7508,0.9197,valid,valid
139,113.6721,115.9835,1.0,0.9762,0.9867,1.0,0.8726,0.9624,valid,valid
140,117.142,121.259,1.0,0.9788,0.9862,1.0,0.8349,0.946,valid,valid
141,126.8201,127.0591,1.0,0.974,0.9837,1.0,0.786,0.9221,valid,valid
142,133.5148,132.1933,1.0,0.9808,0.9889,1.0,0.7707,0.9274,valid,valid
143,137.539,140.856,1.0,0.9859,0.993,1.0,0.814,0.9579,valid,valid
144,139.9498,147.5606,1.0,0.978,0.9914,1.0,0.6985,0.9146,valid,valid
145,140.2267,152.4327,1.0,0.9765,0.9896,1.0,0.6715,0.9055,valid,valid
146,145.507,154.7143,1.0,0.9753,0.9901,1.0,0.6207,0.8784,valid,valid
147,150.8247,160.85,1.0,0.9847,0.9936,1.0,0.6931,0.9073,valid,valid
148,153.9746,,1.0,0.9531,0.9813,1.0,0.4928,0.8125,valid,chain_incomplete
149,154.2353,,1.0,0.9634,0.9846,1.0,0.4871,0.8265,valid,chain_incomplete
150,156.2196,165.1084,1.0,0.9738,0.9881,1.0,0.651,0.8943,valid,valid
