frame_index,left_knee_angle_deg,right_knee_angle_deg,left_hip_visibility,left_knee_visibility,left_ankle_visibility,right_hip_visibility,right_knee_visibility,right_ankle_visibility,left_angle_status,right_angle_status
0,178.2616,,1.0,0.5548,0.6189,1.0,0.3413,0.5159,valid,chain_incomplete
1,,,0.9999,0.481,0.5837,0.9999,0.2377,0.4326,chain_incomplete,chain_incomplete
2,,,1.0,0.4333,0.5213,0.9999,0.2478,0.4375,chain_incomplete,chain_incomplete
3,,,0.9999,0.3941,0.5042,0.9999,0.2245,0.4258,chain_incomplete,chain_incomplete
4,179.1532,,1.0,0.6026,0.6918,0.9999,0.438,0.6366,valid,chain_incomplete
5,178.1276,,1.0,0.6367,0.7052,1.0,0.4429,0.6312,valid,chain_incomplete
6,,,0.9999,0.4463,0.572,0.9999,0.3143,0.5227,chain_incomplete,chain_incomplete
7,179.1623,,1.0,0.5765,0.6471,1.0,0.4066,0.5908,valid,chain_incomplete
8,,,1.0,0.4836,0.5605,0.9999,0.3706,0.547,chain_incomplete,chain_incomplete
9,,,0.9999,0.4471,0.5763,0.9999,0.3095,0.5031,chain_incomplete,chain_incomplete
10,,,0.9999,0.4563,0.5691,0.9999,0.2845,0.4951,chain_incomplete,chain_incomplete
11,,,0.9999,0.4514,0.5934,0.9999,0.3093,0.522,chain_incomplete,chain_incomplete
12,,,0.9999,0.4187,0.5621,0.9999,0.2727,0.4882,chain_incomplete,chain_incomplete
13,179.4713,,0.9999,0.512,0.6785,0.9999,0.3312,0.5845,valid,chain_incomplete
14,,,0.9999,0.4239,0.5672,0.9999,0.2652,0.4838,chain_incomplete,chain_incomplete
15,178.3812,,0.9999,0.5408,0.641,0.9999,0.3331,0.5398,valid,chain_incomplete
16,,,0.9999,0.457,0.5805,0.9999,0.2528,0.4616,chain_incomplete,chain_incomplete
17,,,0.9999,0.4928,0.6191,0.9999,0.2878,0.5075,chain_incomplete,chain_incomplete
18,,,0.9999,0.4645,0.607,0.9999,0.3035,0.5244,chain_incomplete,chain_incomplete
19,,,0.9999,0.4512,0.5628,0.9999,0.2581,0.4506,chain_incomplete,chain_incomplete
