frame_index_global,frame_index_in_rep,knee_angle_deg,knee_angle_median,knee_angle_smoothed,angle_status
679,0,121.9125,122.2787,122.2911,valid
680,1,122.2787,122.9962,122.9911,valid
681,2,123.7136,123.5713,123.4982,valid
682,3,124.2101,123.7136,123.8124,valid
683,4,123.5713,123.9277,124.1101,valid
684,5,124.1241,123.9277,123.9839,valid
685,6,123.9277,123.5713,122.9061,valid
686,7,121.233,121.233,121.398,valid
687,8,118.2614,118.2614,119.048,valid
688,9,117.0375,117.0375,116.045,valid
689,10,112.6551,112.6551,112.7885,valid
690,11,109.1341,109.1341,109.5484,valid
691,12,105.8875,105.8875,106.3157,valid
692,13,103.5189,103.5189,103.1608,valid
693,14,96.3052,99.912,99.2253,valid
694,15,91.8212,94.0632,94.0459,valid
695,16,,,,chain_incomplete
696,17,84.7685,83.2703,84.8076,valid
697,18,81.7721,81.7721,82.2835,valid
698,19,76.5893,81.7721,79.7157,valid
699,20,,,,chain_incomplete
700,21,,,,chain_incomplete
701,22,66.4318,64.8276,66.1411,valid
702,23,64.8276,63.6648,63.4339,valid
703,24,62.5019,62.5019,61.9849,valid
704,25,61.0031,61.0031,61.145,valid
705,26,58.2248,59.854,59.808,valid
706,27,58.7048,58.4648,58.417,valid
707,28,,,,chain_incomplete
708,29,55.3815,55.3815,55.2108,valid
709,30,,,,chain_incomplete
710,31,52.2122,51.9282,52.3319,valid
711,32,51.5388,51.5914,51.5033,valid
712,33,51.6441,51.5914,51.3677,valid
713,34,51.1942,51.5388,51.8712,valid
714,35,,,,chain_incomplete
715,36,,,,chain_incomplete
716,37,,,,chain_incomplete
717,38,,,,chain_incomplete
718,39,57.6103,57.6103,56.9643,valid
719,40,57.2731,57.6103,59.0841,valid
720,41,105.9337,62.6681,63.2576,valid
721,42,,,,chain_incomplete
722,43,67.7259,74.007,72.1649,valid
723,44,72.0692,74.007,74.5695,valid
724,45,75.9449,75.9449,76.4808,valid
725,46,78.6363,78.6363,79.1417,valid
726,47,83.6935,83.6935,83.8116,valid
727,48,88.9022,88.9022,88.3929,valid
728,49,93.5116,93.5116,92.9724,valid
729,50,95.6986,95.6986,96.5136,valid
730,51,100.2055,100.2055,99.526,valid
731,52,102.0955,102.0955,102.4733,valid
732,53,105.5068,105.5068,105.6456,valid
733,54,108.7037,108.7037,108.6102,valid
734,55,111.5932,111.5932,111.659,valid
735,56,114.3922,114.3922,114.1021,valid
736,57,115.8817,115.8817,115.9774,valid
737,58,117.4312,117.4312,117.3835,valid
738,59,118.4207,118.4207,118.7065,valid
739,60,120.8007,119.6107,119.7757,valid
740,61,122.3205,120.8007,120.5909,valid
