frame_index_global,frame_index_in_rep,knee_angle_deg,knee_angle_median,knee_angle_smoothed,angle_status
241,0,135.522,135.522,135.5073,valid
242,1,135.6627,135.5924,135.6487,valid
243,2,135.2605,135.6627,135.6603,valid
244,3,135.7478,135.6627,135.5421,valid
245,4,135.9051,135.2605,135.2336,valid
246,5,134.8053,134.8053,134.8649,valid
247,6,133.8641,134.4714,134.5661,valid
248,7,133.9698,134.4714,134.4439,valid
249,8,134.4714,134.4714,134.5369,valid
250,9,135.2296,134.4714,134.5286,valid
251,10,134.8817,134.4714,134.1203,valid
252,11,133.4497,133.4497,133.5498,valid
253,12,132.3385,132.3385,132.5335,valid
254,13,131.8932,131.8932,131.4681,valid
255,14,128.968,130.3059,130.7504,valid
256,15,130.3059,130.3059,130.3649,valid
257,16,130.0346,130.3059,130.265,valid
258,17,131.9758,130.3059,130.1539,valid
259,18,130.4815,130.0346,129.6937,valid
260,19,128.7407,128.7407,129.1179,valid
261,20,128.6571,128.7407,128.81,valid
262,21,128.7206,128.7407,128.852,valid
263,22,131.3036,129.4442,129.3052,valid
264,23,131.5457,129.4442,129.5319,valid
265,24,129.4442,129.4442,129.1294,valid
266,25,128.4412,128.4412,128.368,valid
267,26,126.6673,126.6673,127.2278,valid
268,27,126.2786,126.2786,125.6844,valid
269,28,124.1545,124.1545,124.3069,valid
270,29,121.8072,122.557,122.8916,valid
271,30,122.557,121.8072,121.3641,valid
272,31,120.0952,120.0952,120.3527,valid
273,32,118.9611,119.366,119.4578,valid
274,33,119.366,118.9611,118.8397,valid
275,34,118.2724,118.2724,118.5401,valid
276,35,118.2052,118.2052,117.7964,valid
277,36,117.1052,117.1052,116.9437,valid
278,37,115.3927,115.3927,115.9038,valid
279,38,115.1536,115.1536,114.8647,valid
280,39,113.9308,113.9308,114.1403,valid
281,40,113.5923,113.5923,113.4242,valid
282,41,112.7699,112.7699,112.628,valid
283,42,110.4881,111.6614,111.9715,valid
284,43,111.6614,111.5509,111.3559,valid
285,44,110.261,110.9312,111.0373,valid
286,45,111.5509,110.9312,111.0126,valid
287,46,110.9312,110.9284,110.9617,valid
288,47,110.9284,110.9284,110.7544,valid
289,48,108.9712,110.2636,110.0277,valid
290,49,110.2636,108.9712,109.1113,valid
291,50,107.5316,107.8264,108.2429,valid
292,51,107.8264,107.5316,107.2677,valid
293,52,106.762,106.762,106.4122,valid
294,53,104.9607,104.9607,105.3425,valid
295,54,104.4492,104.4492,104.2352,valid
296,55,103.2584,103.2584,103.4325,valid
297,56,102.9317,103.2584,103.2742,valid
298,57,102.4818,103.2584,103.4246,valid
299,58,104.0522,104.0522,103.8924,valid
300,59,104.3666,104.3666,104.2491,valid
301,60,104.8189,104.3666,104.5116,valid
302,61,104.6334,104.3666,104.3043,valid
303,62,104.103,104.103,103.8401,valid
304,63,103.0849,103.0849,103.3127,valid
305,64,102.6221,102.6221,102.7485,valid
306,65,102.5109,102.5109,102.4009,valid
307,66,102.1388,102.1388,102.195,valid
308,67,101.5388,102.1019,101.9286,valid
309,68,102.1019,101.5388,101.6576,valid
310,69,100.437,101.433,101.4867,valid
311,70,101.433,101.433,101.3868,valid
312,71,100.5781,101.433,101.44,valid
313,72,101.4842,101.4842,101.4892,valid
314,73,101.5242,101.4842,101.4707,valid
315,74,102.0549,101.4842,101.4119,valid
316,75,101.2526,101.2526,101.2355,valid
317,76,100.5338,101.2526,101.2986,valid
318,77,100.4815,101.2526,101.5583,valid
319,78,102.4595,102.2429,101.8524,valid
320,79,102.3706,102.3706,102.2444,valid
321,80,102.2429,102.4595,102.7333,valid
322,81,103.5846,103.5846,103.6669,valid
323,82,104.8414,104.8414,105.0505,valid
324,83,107.1483,107.1483,106.3674,valid
325,84,109.4059,107.9823,108.2868,valid
326,85,107.9823,109.4059,110.5013,valid
327,86,113.6582,113.6582,112.5551,valid
328,87,116.6679,114.7543,114.6061,valid
329,88,115.591,115.591,115.9475,valid
330,89,114.7543,116.6679,116.4379,valid
331,90,119.7369,117.1523,117.1887,valid
332,91,117.1523,118.1959,118.4464,valid
333,92,118.1959,119.7369,119.7902,valid
334,93,122.3802,122.3802,122.1134,valid
335,94,123.6473,123.6473,124.4663,valid
336,95,127.5419,127.5419,126.4761,valid
337,96,127.7465,127.7465,127.9437,valid
338,97,129.533,128.6654,128.8685,valid
339,98,128.6654,129.411,129.1809,valid
340,99,129.411,129.533,129.7234,valid
341,100,131.1829,130.6473,130.5755,valid
342,101,130.6473,131.1829,131.5333,valid
343,102,133.471,133.471,133.0183,valid
344,103,134.0276,134.0276,134.518,valid
345,104,136.3257,136.3257,135.7295,valid
346,105,137.0147,137.0147,137.0733,valid
347,106,137.6972,137.6972,138.6364,valid
348,107,140.6761,140.6761,139.7719,valid
349,108,141.1941,140.9351,140.7229,valid
350,109,143.1142,141.1941,141.4893,valid
