frame_index_global,frame_index_in_rep,knee_angle_deg,knee_angle_median,knee_angle_smoothed,angle_status
1,0,126.5617,124.0083,124.0242,valid
2,1,124.0083,121.3248,121.2557,valid
3,2,118.6414,118.6414,118.5881,valid
4,3,115.6987,115.6987,116.0215,valid
5,4,113.7505,113.7505,113.6141,valid
6,5,111.3065,111.3065,111.1984,valid
7,6,108.8339,108.8339,108.8304,valid
8,7,106.0825,106.0825,106.3653,valid
9,8,103.7729,103.7729,103.3087,valid
10,9,100.9528,100.9528,100.4695,valid
11,10,96.9124,96.9124,98.2622,valid
12,11,96.8829,96.8829,96.5313,valid
13,12,96.0754,96.0754,95.492,valid
14,13,94.637,94.637,95.3022,valid
15,14,94.087,94.087,93.9584,valid
16,15,93.7039,93.7039,92.6842,valid
17,16,90.0119,90.0119,91.4214,valid
18,17,87.974,90.0119,89.558,valid
19,18,84.7186,87.974,87.4941,valid
20,19,105.3287,84.7186,84.9636,valid
21,20,82.1869,82.1869,81.5534,valid
22,21,76.816,78.0072,79.0401,valid
23,22,78.0072,76.8971,77.2853,valid
24,23,76.8971,76.816,75.718,valid
25,24,74.6837,74.6837,74.8162,valid
26,25,72.4352,72.7014,73.3436,valid
27,26,72.7014,72.4352,71.8301,valid
28,27,70.3658,70.3658,70.5465,valid
29,28,69.5799,69.5799,69.4179,valid
30,29,68.0884,68.0884,68.414,valid
31,30,68.0611,68.0884,68.0075,valid
32,31,67.9217,68.0884,67.983,valid
33,32,69.0861,68.2139,68.4743,valid
34,33,69.7009,69.0861,68.8918,valid
35,34,68.2139,69.5764,69.4273,valid
36,35,70.4038,69.7009,69.9186,valid
37,36,69.5764,70.4038,70.238,valid
38,37,70.73,70.73,70.4537,valid
39,38,71.2588,71.2588,71.5359,valid
40,39,72.3734,72.3734,73.0319,valid
41,40,76.3139,76.3139,75.1112,valid
42,41,77.9644,77.9644,78.6971,valid
43,42,81.8274,81.8274,82.1712,valid
44,43,88.3435,88.3435,87.0849,valid
45,44,90.7968,90.7968,93.005,valid
46,45,110.2936,100.8144,99.2783,valid
47,46,100.8144,104.5379,104.6106,valid
48,47,104.5379,110.2936,109.5824,valid
49,48,112.5609,112.5609,113.1211,valid
50,49,117.4882,117.4882,118.2749,valid
51,50,123.3662,123.3662,123.3225,valid
52,51,130.5787,130.5787,128.7655,valid
53,52,133.8742,133.8742,135.4849,valid
54,53,140.4553,140.4553,142.0273,valid
55,54,151.063,151.063,147.7496,valid
56,55,153.2259,153.2259,153.9928,valid
57,56,157.4597,157.4597,159.5202,valid
58,57,164.8152,164.8152,163.5323,valid
59,58,168.9657,168.9657,168.0593,valid
60,59,169.8576,169.8576,170.9799,valid
61,60,173.3034,172.6021,172.0572,valid
62,61,172.6021,172.6421,172.6096,valid
63,62,173.37,172.6421,173.1125,valid
64,63,172.6421,172.6021,172.4979,valid
65,64,172.3026,172.3026,171.5575,valid
66,65,169.7986,169.7986,170.3714,valid
67,66,168.3873,168.7726,169.0329,valid
68,67,168.7726,168.3873,168.0181,valid
69,68,167.4634,167.4634,167.6294,valid
70,69,167.3261,167.4634,167.502,valid
71,70,166.6401,167.4634,167.5945,valid
72,71,169.5925,168.1206,168.0116,valid
73,72,170.1865,168.1206,168.1038,valid
74,73,168.1206,168.1206,168.0369,valid
75,74,166.9645,166.9645,167.133,valid
76,75,166.2342,166.2342,165.4977,valid
77,76,163.3589,163.3589,163.6724,valid
78,77,161.5338,161.6424,162.5521,valid
79,78,160.9117,161.5881,161.6986,valid
80,79,161.6424,161.5338,161.1119,valid
