subject_id,trial_id,condition,closer_leg,video_fps,t_video_peak,t_ik_peak,residual_lag_s,residual_lag_frames
subject10,DJ1,symmetric,R,60.0,1.6506666666666667,1.58,0.07066666666666666,4.239999999999999
subject10,DJ2,symmetric,R,60.0,1.6536666666666666,1.59,0.06366666666666654,3.8199999999999923
subject10,DJ3,symmetric,R,60.0,1.3811666666666667,1.35,0.031166666666666565,1.869999999999994
subject10,DJAsym1,asymmetric,R,60.0,1.3453333333333335,1.29,0.055333333333333456,3.3200000000000074
subject10,DJAsym2,asymmetric,R,60.0,1.2633333333333332,1.21,0.05333333333333323,3.199999999999994
subject10,DJAsym3,asymmetric,R,60.0,1.4823333333333335,1.53,-0.047666666666666524,-2.8599999999999914
subject11,DJ1,symmetric,R,60.0,1.5944999999999998,1.45,0.14449999999999985,8.669999999999991
subject11,DJ4,symmetric,R,60.0,1.809,1.66,0.14900000000000002,8.940000000000001
subject11,DJ5,symmetric,R,60.0,1.5603333333333336,1.44,0.12033333333333363,7.2200000000000175
subject11,DJAsym3,asymmetric,R,60.0,1.7216666666666667,1.81,-0.08833333333333337,-5.3000000000000025
subject11,DJAsym4,asymmetric,R,60.0,1.8646666666666665,1.76,0.10466666666666646,6.279999999999988
subject11,DJAsym5,asymmetric,R,60.0,1.7528333333333332,1.66,0.09283333333333332,5.569999999999999
subject2,DJ1,symmetric,R,60.0,1.9136666666666666,1.87,0.04366666666666652,2.6199999999999912
subject2,DJ2,symmetric,R,60.0,1.6211666666666666,1.48,0.14116666666666666,8.469999999999999
subject2,DJ3,symmetric,R,60.0,1.6573333333333333,1.58,0.07733333333333325,4.639999999999995
subject2,DJAsym1,asymmetric,R,60.0,1.8245,1.78,0.044499999999999984,2.669999999999999
subject2,DJAsym4,asymmetric,R,60.0,1.6136666666666666,1.44,0.17366666666666664,10.419999999999998
subject2,DJAsym5,asymmetric,R,60.0,1.3518333333333332,1.48,-0.12816666666666676,-7.690000000000006
subject3,DJ1,symmetric,R,60.0,1.7571666666666665,1.69,0.0671666666666666,4.029999999999996
subject3,DJ2,symmetric,R,60.0,2.491833333333333,2.37,0.12183333333333302,7.309999999999981
subject3,DJ4,symmetric,R,60.0,1.8471666666666666,1.82,0.02716666666666656,1.6299999999999937
subject3,DJAsym1,asymmetric,R,60.0,1.9865000000000002,1.88,0.10650000000000026,6.390000000000016
subject3,DJAsym2,asymmetric,R,60.0,1.7321666666666666,1.69,0.042166666666666686,2.530000000000001
subject3,DJAsym4,asymmetric,R,60.0,2.024,1.94,0.08400000000000007,5.0400000000000045
subject4,DJ1,symmetric,R,60.0,1.8276666666666668,1.75,0.07766666666666677,4.660000000000006
subject4,DJ2,symmetric,R,60.0,1.9064999999999999,1.85,0.05649999999999977,3.3899999999999864
subject4,DJ3,symmetric,R,60.0,1.7420000000000002,1.65,0.0920000000000003,5.520000000000018
subject4,DJAsym1,asymmetric,R,60.0,1.725,1.64,0.08500000000000019,5.100000000000011
subject4,DJAsym2,asymmetric,R,60.0,1.5666666666666669,1.58,-0.013333333333333197,-0.7999999999999918
subject4,DJAsym3,asymmetric,R,60.0,1.7225000000000001,1.72,0.0025000000000001688,0.15000000000001013
subject5,DJ1,symmetric,R,60.0,2.2091666666666665,2.04,0.16916666666666647,10.149999999999988
subject5,DJ2,symmetric,R,60.0,1.941,1.84,0.10099999999999998,6.059999999999999
subject5,DJ3,symmetric,R,60.0,1.9761666666666668,1.88,0.09616666666666696,5.770000000000017
subject5,DJAsym1,asymmetric,R,60.0,1.5744999999999998,1.52,0.05449999999999977,3.2699999999999863
subject5,DJAsym2,asymmetric,R,60.0,2.058,1.95,0.10799999999999987,6.479999999999992
subject5,DJAsym3,asymmetric,R,60.0,1.8663333333333332,1.8,0.06633333333333313,3.979999999999988
subject7,DJ2,symmetric,R,60.0,1.8358333333333334,1.86,-0.02416666666666667,-1.4500000000000002
subject7,DJ3,symmetric,R,60.0,1.8495,1.79,0.059499999999999886,3.569999999999993
subject7,DJ4,symmetric,R,60.0,2.5351666666666666,2.49,0.045166666666666355,2.7099999999999813
subject7,DJAsym1,asymmetric,R,60.0,1.69,1.61,0.07999999999999985,4.799999999999991
subject7,DJAsym2,asymmetric,R,60.0,1.473666666666667,1.44,0.033666666666666956,2.0200000000000173
subject7,DJAsym3,asymmetric,R,60.0,2.3223333333333334,2.2,0.12233333333333318,7.339999999999991
subject8,DJ1,symmetric,L,60.0,1.8404999999999998,1.69,0.15049999999999986,9.02999999999999
subject8,DJ2,symmetric,L,60.0,1.9073333333333333,1.68,0.2273333333333334,13.640000000000004
subject8,DJ3,symmetric,L,60.0,1.9831666666666667,1.62,0.36316666666666664,21.79
subject8,DJAsym1,asymmetric,L,60.0,1.6384999999999998,1.53,0.10849999999999982,6.509999999999989
subject8,DJAsym2,asymmetric,L,60.0,1.8796666666666666,1.74,0.1396666666666666,8.379999999999995
subject8,DJAsym3,asymmetric,L,60.0,1.701,1.64,0.061000000000000165,3.66000000000001
