subject_id,trial_id,condition,knee,ik_peak_flexion,video_flexion_at_peak,error
subject10,DJ1,symmetric,L,110.04462592,110.96696476190485,0.9223388419048462
subject10,DJ1,symmetric,R,110.5969493,123.43651104761913,12.839561747619129
subject10,DJ2,symmetric,L,124.56375935,124.57273323809537,0.00897388809536892
subject10,DJ2,symmetric,R,124.45738259,128.922545904762,4.465163314761995
subject10,DJ3,symmetric,L,105.13165227,109.38462904761914,4.252976777619139
subject10,DJ3,symmetric,R,103.24559465,121.84102790476202,18.595433254762014
subject10,DJAsym1,asymmetric,L,100.8835794,111.1741116190477,10.29053221904769
subject10,DJAsym1,asymmetric,R,99.42010705,113.06704266666678,13.64693561666678
subject10,DJAsym2,asymmetric,L,104.03450361,111.3718742857144,7.337370675714396
subject10,DJAsym2,asymmetric,R,99.12660741,115.20012476190485,16.07351735190484
subject10,DJAsym3,asymmetric,L,109.52551019,111.1258717142858,1.6003615242857876
subject10,DJAsym3,asymmetric,R,108.84415954,124.83295609523819,15.988796555238181
subject11,DJ1,symmetric,L,92.4155899,100.3087717142858,7.893181814285796
subject11,DJ1,symmetric,R,91.25819,114.7634041904763,23.505214190476295
subject11,DJ4,symmetric,L,98.97702241,92.18353542857149,-6.793486981428515
subject11,DJ4,symmetric,R,97.67008186,103.83481714285716,6.1647352828571655
subject11,DJ5,symmetric,L,98.34750417,103.7683487619048,5.42084459190481
subject11,DJ5,symmetric,R,94.0624376,113.74886990476196,19.686432304761965
subject11,DJAsym3,asymmetric,L,99.5419283,111.60893666666674,12.067008366666741
subject11,DJAsym3,asymmetric,R,98.52562272,121.63482047619055,23.109197756190554
subject11,DJAsym4,asymmetric,L,109.29892435,117.28100400000012,7.982079650000131
subject11,DJAsym4,asymmetric,R,105.42078413,127.67565276190487,22.25486863190487
subject11,DJAsym5,asymmetric,L,90.1827635,101.30571495238101,11.122951452381017
subject11,DJAsym5,asymmetric,R,91.73479522,111.75508085714293,20.020285637142933
subject2,DJ1,symmetric,L,103.98952213,94.38918800000006,-9.600334129999936
subject2,DJ1,symmetric,R,106.77873145,125.00109161904773,18.222360169047732
subject2,DJ2,symmetric,L,118.33480233,117.9990837142858,-0.3357186157141996
subject2,DJ2,symmetric,R,109.97782427,125.55509433333341,15.577270063333415
subject2,DJ3,symmetric,L,107.62808919,115.00270095238102,7.374611762381022
subject2,DJ3,symmetric,R,102.05579725,122.7308156190477,20.675018369047706
subject2,DJAsym1,asymmetric,L,121.43759826,120.21357104761911,-1.2240272123808893
subject2,DJAsym1,asymmetric,R,120.75626504,136.48347814285722,15.72721310285722
subject2,DJAsym4,asymmetric,L,117.51846728,124.19079066666674,6.672323386666747
subject2,DJAsym4,asymmetric,R,116.8736693,124.32245533333341,7.4487860333334055
subject2,DJAsym5,asymmetric,L,111.28911605,127.93137657142866,16.642260521428653
subject2,DJAsym5,asymmetric,R,107.16667845,115.21420957142867,8.047531121428662
subject3,DJ1,symmetric,L,100.51665377,112.16623742857152,11.649583658571515
subject3,DJ1,symmetric,R,100.69398874,114.06463204761913,13.370643307619133
subject3,DJ2,symmetric,L,97.51357788,109.18826619047626,11.674688310476256
subject3,DJ2,symmetric,R,96.06444362,111.62463814285725,15.560194522857245
subject3,DJ4,symmetric,L,102.59434703,114.72212276190484,12.127775731904848
subject3,DJ4,symmetric,R,102.69348982,121.21389923809531,18.520409418095312
subject3,DJAsym1,asymmetric,L,93.32507477,96.8336072380953,3.5085324680952965
subject3,DJAsym1,asymmetric,R,95.63421544,111.71359576190484,16.079380321904836
subject3,DJAsym2,asymmetric,L,92.10306381,100.40784795238099,8.304784142380996
subject3,DJAsym2,asymmetric,R,93.21721977,106.90337852380956,13.686158753809565
subject3,DJAsym4,asymmetric,L,98.66276103,101.44595980952387,2.7831987795238717
subject3,DJAsym4,asymmetric,R,100.08492724,115.0112558095239,14.926328569523903
subject4,DJ1,symmetric,L,111.02187336,124.15667228571436,13.134798925714364
subject4,DJ1,symmetric,R,112.90512849,124.64310447619056,11.737975986190563
subject4,DJ2,symmetric,L,107.18112479,119.91366442857152,12.732539638571524
subject4,DJ2,symmetric,R,108.65353835,118.31405985714294,9.660521507142931
subject4,DJ3,symmetric,L,111.37071645,122.41129180952389,11.040575359523885
subject4,DJ3,symmetric,R,115.29688353,124.94829923809533,9.651415708095328
subject4,DJAsym1,asymmetric,L,101.86438747,116.82167523809531,14.957287768095313
subject4,DJAsym1,asymmetric,R,101.15509944,115.29359285714294,14.13849341714294
subject4,DJAsym2,asymmetric,L,100.38845717,118.87178285714295,18.48332568714295
subject4,DJAsym2,asymmetric,R,100.76728634,117.53296285714295,16.76567651714295
subject4,DJAsym3,asymmetric,L,99.96429447,113.3223952380953,13.358100768095298
subject4,DJAsym3,asymmetric,R,103.39699068,119.80803642857151,16.41104574857151
subject5,DJ1,symmetric,L,83.62078339,84.66044833333342,1.0396649433334204
subject5,DJ1,symmetric,R,84.02558026,91.0983202380953,7.072739978095299
subject5,DJ2,symmetric,L,83.22432592,94.56509561904768,11.340769699047684
subject5,DJ2,symmetric,R,83.51787871,95.83392390476197,12.31604519476197
subject5,DJ3,symmetric,L,78.15350282,89.79833528571433,11.64483246571433
subject5,DJ3,symmetric,R,79.09096416,89.59228819047624,10.50132403047624
subject5,DJAsym1,asymmetric,L,83.17918311,104.12894195238103,20.94975884238103
subject5,DJAsym1,asymmetric,R,83.25546979,101.46325828571436,18.207788495714354
subject5,DJAsym2,asymmetric,L,85.53008386,96.90516495238103,11.375081092381023
subject5,DJAsym2,asymmetric,R,85.98315188,99.19944876190483,13.216296881904839
subject5,DJAsym3,asymmetric,L,80.10842397,97.20857838095246,17.100154410952456
subject5,DJAsym3,asymmetric,R,83.19837295,97.94445276190486,14.746079811904849
subject7,DJ2,symmetric,L,110.39379177,117.9227126190477,7.528920849047694
subject7,DJ2,symmetric,R,111.02012824,129.57358761904774,18.553459379047737
subject7,DJ3,symmetric,L,119.69232368,125.57644585714296,5.884122177142956
subject7,DJ3,symmetric,R,115.75664935,133.19685866666674,17.44020931666674
subject7,DJ4,symmetric,L,109.00564183,118.79112433333343,9.785482503333427
subject7,DJ4,symmetric,R,107.0062378,125.71532661904772,18.70908881904772
subject7,DJAsym1,asymmetric,L,106.82760609,111.16285523809533,4.335249148095329
subject7,DJAsym1,asymmetric,R,103.83665932,112.41931809523818,8.582658775238187
subject7,DJAsym2,asymmetric,L,103.15912894,108.78877847619054,5.629649536190541
subject7,DJAsym2,asymmetric,R,103.50111383,117.10175657142865,13.600642741428658
subject7,DJAsym3,asymmetric,L,103.95263324,109.36804571428577,5.415412474285773
subject7,DJAsym3,asymmetric,R,105.04621111,125.92960780952392,20.883396699523914
subject8,DJ1,symmetric,L,99.06106312,108.0049297142858,8.943866594285794
subject8,DJ1,symmetric,R,101.00290255,104.47824080952391,3.475338259523909
subject8,DJ2,symmetric,L,96.82212289,115.2978998095239,18.475776919523895
subject8,DJ2,symmetric,R,96.64837502,109.9169615238096,13.268586503809601
subject8,DJ3,symmetric,L,90.3276889,100.12267361904772,9.794984719047719
subject8,DJ3,symmetric,R,91.00069837,102.75377930158737,11.753080931587377
subject8,DJAsym1,asymmetric,L,94.1994726,71.23189500000001,-22.9675776
subject8,DJAsym1,asymmetric,R,100.1790459,74.78460683333336,-25.39443906666665
subject8,DJAsym2,asymmetric,L,96.46673101,108.93429666666675,12.46756565666675
subject8,DJAsym2,asymmetric,R,105.47463901,105.15390723809531,-0.3207317719046898
subject8,DJAsym3,asymmetric,L,83.89924335,95.31204933333336,11.412805983333357
