File_ID,Subject_ID,Exercise,Dataset_Source,File_Type,File_Path,FPS,Resolution,Duration_sec,Frame_Count,Camera_View,Quality,Selected,Pose_Status,Notes
BB_unknown_001,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g01_c01.avi,29.97,320x240,4.705,141,unknown,unchecked,yes,not_started,
BB_unknown_002,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g01_c02.avi,29.97,320x240,6.006,180,unknown,unchecked,yes,not_started,
BB_unknown_003,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g01_c03.avi,29.97,320x240,6.874,206,unknown,unchecked,yes,not_started,
BB_unknown_004,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g01_c04.avi,29.97,320x240,3.604,108,unknown,unchecked,yes,not_started,
BB_unknown_005,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g01_c05.avi,29.97,320x240,4.705,141,unknown,unchecked,yes,not_started,
BB_unknown_006,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g01_c06.avi,29.97,320x240,4.938,148,unknown,unchecked,yes,not_started,
BB_unknown_007,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g01_c07.avi,29.97,320x240,3.337,100,unknown,unchecked,yes,not_started,
BB_unknown_008,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g02_c01.avi,29.97,320x240,1.768,53,unknown,unchecked,yes,not_started,
BB_unknown_009,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g02_c02.avi,29.97,320x240,1.869,56,unknown,unchecked,yes,not_started,
BB_unknown_010,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g02_c03.avi,29.97,320x240,3.737,112,unknown,unchecked,yes,not_started,
BB_unknown_011,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g02_c04.avi,29.97,320x240,2.669,80,unknown,unchecked,yes,not_started,
BB_unknown_012,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g02_c05.avi,29.97,320x240,4.805,144,unknown,unchecked,yes,not_started,
BB_unknown_013,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g02_c06.avi,29.97,320x240,4.137,124,unknown,unchecked,yes,not_started,
BB_unknown_014,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g03_c01.avi,29.97,320x240,4.605,138,unknown,unchecked,yes,not_started,
BB_unknown_015,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g03_c02.avi,29.97,320x240,4.204,126,unknown,unchecked,yes,not_started,
BB_unknown_016,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g03_c03.avi,29.97,320x240,4.004,120,unknown,unchecked,yes,not_started,
BB_unknown_017,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g03_c04.avi,29.97,320x240,2.669,80,unknown,unchecked,yes,not_started,
BB_unknown_018,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g03_c05.avi,29.97,320x240,4.104,123,unknown,unchecked,yes,not_started,
BB_unknown_019,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g03_c06.avi,29.97,320x240,2.87,86,unknown,unchecked,yes,not_started,
BB_unknown_020,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g04_c01.avi,29.97,320x240,3.637,109,unknown,unchecked,yes,not_started,
BB_unknown_021,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g04_c02.avi,29.97,320x240,3.47,104,unknown,unchecked,yes,not_started,
BB_unknown_022,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g04_c03.avi,29.97,320x240,3.537,106,unknown,unchecked,yes,not_started,
BB_unknown_023,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g04_c04.avi,29.97,320x240,2.402,72,unknown,unchecked,yes,not_started,
BB_unknown_024,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g05_c01.avi,29.97,320x240,4.471,134,unknown,unchecked,yes,not_started,
BB_unknown_025,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g05_c02.avi,29.97,320x240,3.704,111,unknown,unchecked,yes,not_started,
BB_unknown_026,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g05_c03.avi,29.97,320x240,3.337,100,unknown,unchecked,yes,not_started,
BB_unknown_027,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g05_c04.avi,29.97,320x240,2.903,87,unknown,unchecked,yes,not_started,
BB_unknown_028,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g06_c01.avi,29.97,320x240,2.369,71,unknown,unchecked,yes,not_started,
BB_unknown_029,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g06_c02.avi,29.97,320x240,3.37,101,unknown,unchecked,yes,not_started,
BB_unknown_030,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g06_c03.avi,29.97,320x240,3.036,91,unknown,unchecked,yes,not_started,
BB_unknown_031,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g06_c04.avi,29.97,320x240,2.569,77,unknown,unchecked,yes,not_started,
BB_unknown_032,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g07_c01.avi,29.97,320x240,4.738,142,unknown,unchecked,yes,not_started,
BB_unknown_033,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g07_c02.avi,29.97,320x240,3.37,101,unknown,unchecked,yes,not_started,
BB_unknown_034,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g07_c03.avi,29.97,320x240,5.005,150,unknown,unchecked,yes,not_started,
BB_unknown_035,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g07_c04.avi,29.97,320x240,3.37,101,unknown,unchecked,yes,not_started,
BB_unknown_036,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g08_c01.avi,29.97,320x240,5.706,171,unknown,unchecked,yes,not_started,
BB_unknown_037,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g08_c02.avi,29.97,320x240,2.803,84,unknown,unchecked,yes,not_started,
BB_unknown_038,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g08_c03.avi,29.97,320x240,3.203,96,unknown,unchecked,yes,not_started,
BB_unknown_039,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g08_c04.avi,29.97,320x240,3.37,101,unknown,unchecked,yes,not_started,
BB_unknown_040,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g09_c01.avi,29.97,320x240,3.704,111,unknown,unchecked,yes,not_started,
BB_unknown_041,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g09_c02.avi,29.97,320x240,3.47,104,unknown,unchecked,yes,not_started,
BB_unknown_042,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g09_c03.avi,29.97,320x240,2.836,85,unknown,unchecked,yes,not_started,
BB_unknown_043,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g09_c04.avi,29.97,320x240,3.37,101,unknown,unchecked,yes,not_started,
BB_unknown_044,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g09_c05.avi,29.97,320x240,4.071,122,unknown,unchecked,yes,not_started,
BB_unknown_045,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g10_c01.avi,29.97,320x240,4.271,128,unknown,unchecked,yes,not_started,
BB_unknown_046,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g10_c02.avi,29.97,320x240,4.137,124,unknown,unchecked,yes,not_started,
BB_unknown_047,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g10_c03.avi,29.97,320x240,3.871,116,unknown,unchecked,yes,not_started,
BB_unknown_048,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g10_c04.avi,29.97,320x240,3.437,103,unknown,unchecked,yes,not_started,
BB_unknown_049,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g10_c05.avi,29.97,320x240,3.904,117,unknown,unchecked,yes,not_started,
BB_unknown_050,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g11_c01.avi,29.97,320x240,3.504,105,unknown,unchecked,yes,not_started,
BB_unknown_051,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g11_c02.avi,29.97,320x240,4.771,143,unknown,unchecked,yes,not_started,
BB_unknown_052,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g11_c03.avi,29.97,320x240,2.502,75,unknown,unchecked,yes,not_started,
BB_unknown_053,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g11_c04.avi,29.97,320x240,2.569,77,unknown,unchecked,yes,not_started,
BB_unknown_054,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g11_c05.avi,29.97,320x240,2.903,87,unknown,unchecked,yes,not_started,
BB_unknown_055,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g12_c01.avi,29.97,320x240,9.276,278,unknown,unchecked,yes,not_started,
BB_unknown_056,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g12_c02.avi,29.97,320x240,6.139,184,unknown,unchecked,yes,not_started,
BB_unknown_057,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g12_c03.avi,29.97,320x240,4.571,137,unknown,unchecked,yes,not_started,
BB_unknown_058,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g12_c04.avi,29.97,320x240,7.608,228,unknown,unchecked,yes,not_started,
BB_unknown_059,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g12_c05.avi,29.97,320x240,7.741,232,unknown,unchecked,yes,not_started,
BB_unknown_060,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g13_c01.avi,29.97,320x240,10.01,300,unknown,unchecked,yes,not_started,
BB_unknown_061,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g13_c02.avi,29.97,320x240,11.011,330,unknown,unchecked,yes,not_started,
