File_ID,Subject_ID,Exercise,pose_detected,left_chain_complete,right_chain_complete,bilateral_lower_body_complete,partial_unilateral_usable,analysis_tier,num_low_visibility_lower_body_landmarks,low_visibility_landmarks
SQ_1823_059,1823,squats,True,True,False,False,True,Unilateral_Tier,1,right_knee
SQ_1687_057,1687,squats,True,True,False,False,True,Unilateral_Tier,2,right_knee;right_ankle
SQ_1665_055,1665,squats,True,True,True,True,True,Gold_Tier,0,
SQ_1849_064,1849,squats,True,True,False,False,True,Unilateral_Tier,2,right_knee;right_ankle
SQ_1730_058,1730,squats,True,False,False,False,False,Rejected_Tier,3,left_knee;right_knee;left_ankle
SQ_1721_036,1721,squats,True,True,True,True,True,Gold_Tier,0,
SQ_1716_050,1716,squats,True,True,True,True,True,Gold_Tier,0,
SQ_1694_069,1694,squats,True,True,True,True,True,Gold_Tier,0,
SQ_1848_056,1848,squats,True,True,False,False,True,Unilateral_Tier,2,right_knee;right_ankle
SQ_1685_028,1685,squats,True,False,False,False,False,Rejected_Tier,3,right_knee;left_ankle;right_ankle
SQ_1833_079,1833,squats,True,True,True,True,True,Gold_Tier,0,
SQ_1886_059,1886,squats,True,True,True,True,True,Gold_Tier,0,
SQ_1799_047,1799,squats,True,False,True,False,True,Unilateral_Tier,1,left_knee
SQ_1681_053,1681,squats,True,True,True,True,True,Gold_Tier,0,
SQ_1811_053,1811,squats,False,False,False,False,False,Rejected_Tier,6,
SQ_1768_044,1768,squats,True,True,True,True,True,Gold_Tier,0,
SQ_1667_067,1667,squats,False,False,False,False,False,Rejected_Tier,6,
SQ_1666_040,1666,squats,True,False,True,False,True,Unilateral_Tier,2,left_knee;left_ankle
SQ_1682_045,1682,squats,True,True,False,False,True,Unilateral_Tier,2,right_knee;right_ankle
SQ_1714_033,1714,squats,True,True,True,True,True,Gold_Tier,0,
SQ_1718_053,1718,squats,True,False,True,False,True,Unilateral_Tier,1,left_knee
SQ_1789_046,1789,squats,True,True,False,False,True,Unilateral_Tier,2,right_knee;right_ankle
SQ_1814_045,1814,squats,True,True,True,True,True,Gold_Tier,0,
SQ_1887_029,1887,squats,False,False,False,False,False,Rejected_Tier,6,
SQ_1803_040,1803,squats,True,True,False,False,True,Unilateral_Tier,1,right_ankle
SQ_1709_043,1709,squats,True,False,True,False,True,Unilateral_Tier,1,left_knee
SQ_1843_047,1843,squats,False,False,False,False,False,Rejected_Tier,6,
SQ_1826_031,1826,squats,True,True,True,True,True,Gold_Tier,0,
SQ_1839_058,1839,squats,False,False,False,False,False,Rejected_Tier,6,
SQ_1877_037,1877,squats,True,True,True,True,True,Gold_Tier,0,
SQ_1767_059,1767,squats,True,False,False,False,False,Rejected_Tier,3,left_knee;right_knee;right_ankle
SQ_1715_068,1715,squats,True,True,True,True,True,Gold_Tier,0,
SQ_1774_049,1774,squats,True,False,True,False,True,Unilateral_Tier,2,left_knee;left_ankle
SQ_1810_046,1810,squats,False,False,False,False,False,Rejected_Tier,6,
