frame_index,frame_number,knee_angle_deg,knee_angle_median,knee_angle_smoothed,angle_status
0,1,178.7827,178.0525,177.3896,computed
1,2,178.0525,177.0892,177.7298,computed
2,3,176.126,176.126,176.8336,computed
3,4,172.7818,174.4539,174.7012,computed
4,5,171.3913,172.7818,171.5683,computed
5,6,,,,no_pose_detected
6,7,,,,no_pose_detected
7,8,,,,no_pose_detected
8,9,151.3567,148.1587,148.9773,computed
9,10,148.1587,145.214,145.5214,computed
10,11,142.2694,142.2694,142.4495,computed
11,12,140.3628,140.3628,138.2273,computed
12,13,133.1047,133.1047,133.1949,computed
13,14,126.5341,126.5341,127.4393,computed
14,15,124.4041,125.4691,124.5691,computed
15,16,118.0723,124.4041,127.3139,computed
16,17,,,,chain_incomplete
17,18,,,,chain_incomplete
18,19,157.2677,157.2677,151.6586,computed
19,20,,,,chain_incomplete
20,21,,,,chain_incomplete
21,22,135.5706,131.2354,134.6533,computed
22,23,126.9002,135.5706,137.4828,computed
23,24,,,,chain_incomplete
24,25,175.3502,156.8411,155.0952,computed
25,26,153.8905,159.7917,159.7692,computed
26,27,159.7917,159.7917,157.9365,computed
27,28,,,,chain_incomplete
28,29,,,,chain_incomplete
29,30,131.1526,131.1526,134.6493,computed
30,31,101.6788,131.1526,131.0826,computed
31,32,142.3617,131.1526,127.936,computed
32,33,,,,chain_incomplete
33,34,,,,chain_incomplete
34,35,106.5665,106.9246,108.7842,computed
35,36,122.4666,107.7373,107.7315,computed
36,37,106.9246,108.55,110.0264,computed
37,38,108.55,116.5035,113.9195,computed
38,39,116.5035,116.5035,116.5025,computed
39,40,117.7175,117.5119,117.9308,computed
40,41,120.1904,117.7175,117.8074,computed
41,42,117.5119,118.1963,118.097,computed
42,43,132.2471,119.1807,119.0264,computed
43,44,118.1963,119.1807,120.3751,computed
44,45,119.1807,122.8981,121.2576,computed
45,46,123.3544,122.8981,123.1151,computed
46,47,122.8981,123.3544,125.0798,computed
47,48,128.9551,128.7814,126.9383,computed
48,49,132.0397,128.9551,129.6688,computed
49,50,128.7814,132.0397,132.3293,computed
50,51,136.1705,134.32,133.3203,computed
51,52,134.32,135.8973,135.6047,computed
52,53,135.8973,136.1705,138.48,computed
53,54,142.9753,142.9753,141.7182,computed
54,55,146.8306,146.8306,146.0064,computed
55,56,148.8611,148.8611,150.4795,computed
56,57,155.9973,154.1933,152.7066,computed
57,58,154.1933,155.9973,155.5055,computed
58,59,156.3395,156.3395,158.5053,computed
59,60,162.6126,162.6126,160.981,computed
60,61,165.161,165.161,165.6392,computed
61,62,168.8826,168.8826,170.652,computed
62,63,176.4719,176.4719,173.8695,computed
63,64,179.8941,176.5576,176.6888,computed
64,65,178.8207,176.5576,177.9015,computed
65,66,176.5576,178.3081,177.3421,computed
66,67,176.0416,177.4328,177.3209,computed
67,68,178.3081,176.5576,177.2293,computed
68,69,,,,no_pose_detected
69,70,,,,no_pose_detected
70,71,178.3593,178.3593,178.1521,computed
