Subject_ID,inclusion_tier,rep_index,rep_count_for_subject,rep_bottom_frame,rep_start_frame,rep_end_frame,rep_peak_flexion_deg,rep_peak_extension_deg,rep_rom_deg,rep_descent_frames,rep_ascent_frames,rep_tempo_ratio,rep_total_frames,rep_peak_descent_velocity_deg_per_frame,rep_peak_ascent_velocity_deg_per_frame,rep_mean_descent_velocity_deg_per_frame,rep_mean_ascent_velocity_deg_per_frame
1679,gold,0,1,35,3,66,86.9222,177.9679,91.0457,32,31,0.9688,63,-5.4211,8.9762,-2.5796,2.7982
1682,bronze,0,2,25,5,37,129.5942,174.7995,45.2053,20,12,0.6,32,-5.3762,4.2903,-1.9034,3.8702
1682,bronze,1,2,49,38,88,121.6259,179.1797,57.5538,11,39,3.5455,50,-6.6702,4.5499,-4.9744,1.1249
1713,gold,0,1,47,0,93,38.9763,179.7593,140.783,47,46,0.9787,93,-4.9629,6.4565,-2.9674,3.0314
1718,gold,0,1,54,0,103,67.1065,174.4623,107.3558,54,49,0.9074,103,-5.1197,5.6551,-1.9522,2.1909
1774,bronze,0,3,31,2,40,137.9593,172.9868,35.0275,29,9,0.3103,38,-3.223,1.8454,-1.3561,0.02
1774,bronze,1,3,50,41,58,122.9954,156.2226,33.2272,9,8,0.8889,17,-3.8892,8.5595,-1.7201,5.0047
1774,bronze,2,3,67,59,91,141.5572,178.0457,36.4885,8,24,3.0,32,-2.7266,2.5629,-1.9444,0.8328
1799,gold,0,1,44,0,91,86.1291,177.7902,91.6611,44,47,1.0682,91,-5.8443,8.6839,-2.0832,1.9458
1818,gold,0,1,28,0,54,86.136,177.6607,91.5247,28,26,0.9286,54,-5.9156,6.8999,-3.2995,3.0338
1823,gold,0,2,30,0,41,98.8582,177.425,78.5668,30,11,0.3667,41,-4.816,4.1325,-2.4723,0.3903
1823,gold,1,2,53,42,116,93.034,175.1021,82.0681,11,63,5.7273,74,-10.5708,4.507,-5.2142,1.2919
1863,gold,0,1,34,0,103,38.6862,178.9143,140.2281,34,69,2.0294,103,-12.3771,13.3035,-4.1244,1.8806
1884,gold,0,2,20,0,30,80.6236,178.4972,97.8736,20,10,0.5,30,-4.4848,-3.2842,-2.4837,-4.6365
1884,gold,1,2,40,31,109,46.8215,179.93,133.1085,9,69,7.6667,78,-6.1451,4.6543,-3.1795,2.0322
